ItemCode;QTE_DISPO;QTE_ALLOUE;QTE_CMD;UN
AK210BASE.ANTICO.NEUTRE;30000;42,174;0;K
CU32BLC.PISCINE;961,79;0;2400;K
CW42BLC;0,004;0;0;K
DW21BLC;1202,225;140,779;0;K
DW21INC;956,675;235,61;0;K
G400BASE.426.INC;2237,104;544,46;0;K
KR.KR;3839,033;1103,465;0;K
KR36GRIS.CP.7016.NF8/AT;16350;0;0;K
KR39RAL9005;0,75;0;0;K
KY38BRUN.RGE.OXYDE.3009;0,003;0;0;K
S1502;607,397;42,649;0;K
S1503;606,537;42,862;0;K
S1504;103,1;155,056;0;K
S1507;109,982;12,654;0;K
S1510;394,078;0;0;K
S2503;69,671;10,42;0;K
S2505;226,38;45,541;0;K
S3500;150,801;89,819;0;K
S4500;99,971;12,063;0;K
S5500;1334,769;118,273;0;K
S5502;401,672;89,898;0;K
S6500;781,61;22,549;0;K
S8500;484,376;3,836;0;K
S9000;1084,68;0,575;0;K
S9005;541,376;133,429;0;K
SP291BASE.INC;229,625;537,396;0;K
SR21BASE.INC.BUKE;425,854;2091,832;0;K
SR21BASE.INC.BUKE.RECY;1455,669;0;0;K
SR21BLC.9000;4107,495;2737,043;0;K
SR21RAL7016;1130;564,72;0;K
W4500;168,711;0,05;0;K
W5500;-8,15;0;0;K
W6500;97,605;16,41;0;K
X0000;-8371,648;630,652;0;K
X1202;1694,367;13,472;1600;K
X1204;743,074;5,682;0;K
X1209;2992,204;22;2640;K
X1297;-82,696;52,533;0;K
X1301;2712,544;772,167;6120;K
X1303;4129,922;453,674;0;K
X1314;3591,836;736,878;3600;K
X1322;791,226;12,3;0;K
X1323;167,177;3,683;0;K
X1328;262,425;0;0;K
X1336;2913,253;183,445;1850;K
X1338;317,662;0;0;K
X1348;459,142;0;0;K
X1349;98,194;0;0;K
X1401;4769,795;493,177;0;K
X1502;1191,296;33,469;840;K
X1504;1326,613;42,381;0;K
X1505;12,689;0;0;K
X1507;3276,393;364,787;4000;K
X1519;860,572;3,525;0;K
X1522;3402,867;0,007;0;K
X1527;2863,599;1001,857;3000;K
X1533;163,134;30,153;200;K
X1604;402,107;5,385;850;K
X1606;504,714;6,11;0;K
X3000;25944,749;4758,785;0;K
X3006;87320,372;45186,788;148000;K
X3007;29882,519;2178,809;0;K
X3008;2897,677;0;0;K
X3020;10727,851;356,651;0;K
X3022;5051,169;0;0;K
X3023;74878,448;12293,578;0;K
X3024;3447,443;1053,677;4800;K
X3103;25218,564;5365,374;0;K
X3211;7922,768;860,715;350;K
X3213;1238,724;420,479;1000;K
X3308;6455,518;1258,814;0;K
X3318;4577,41;0;0;K
X3411;561,756;111,275;300;K
X3600;827,387;79,394;0;K
X3604;9322,472;1087,887;0;K
X3702;-0,18;0;0;K
X3806;4515,929;232,718;0;K
X5514;59,9;0;0;K
X5606;9050,742;0;0;K
X5705;2747,133;25;0;K
X5706;14914,807;2234,401;15000;K
X5801;1357,205;68,928;0;K
X5813;1236,764;0;0;K
X5903;11800,803;282,259;20000;K
X6110;662,724;152,626;0;K
X6206;36443,944;28921,187;40000;K
X6303;27213,194;10647,032;20000;K
X6304;3741,451;2958,454;60000;K
X6501;3189,289;165,144;0;K
X7101;26843,778;1415,575;0;K
X7106;8675,758;3255,621;8000;K
X7109;2814,427;3,489;0;K
X7201;8906,6;1509,6;4564;K
X7202;35964,122;21581,528;100;K
X7203;4173,078;8146,637;8000;K
X7401;8842,968;614,007;0;K
X7402;1675,079;745,2;0;K
X7602;1183,044;75,39;0;K
X7605;1867,279;363,362;0;K
X7607;227,947;0,66;0;K
X90009;7299,262;2583,707;12000;K
Y8204/CC;2709,174;968,639;0;K
